TckrSymb	Dt	OpnIntrst	FrstPric	MinPric	MaxPric	TradAvrgPric	LastPric
STBPB736	2022-02-04	34800	0.19	0.19	0.19	0.19	0.19
R1CL34	2022-02-04	-	205.37	201.3	205.37	204.51	204.7
CESPB245	2022-02-04	13900	0.21	0.21	0.21	0.21	0.21
ELETB340	2022-02-04	57000	1.6	1.53	1.6	1.56	1.53
ELETN300	2022-02-04	218100	0.24	0.19	0.24	0.2	0.19
D1DG34	2022-02-04	-	74.38	74.38	81.27	80.34	81.27
EQTLN225	2022-02-04	101400	0.25	0.25	0.25	0.25	0.25
ODPVN114	2022-02-04	39600	0.1	0.1	0.1	0.1	0.1
CSNAN270	2022-02-04	519400	1.05	1	1.07	1.03	1.04
ELETC364	2022-02-04	5300	0.7	0.7	0.7	0.7	0.7
MULTO180	2022-02-04	75900	0.13	0.13	0.13	0.13	0.13
EGIE3	2022-02-04	-	41.28	40.63	41.35	40.95	40.78
UNIP6F	2022-02-04	-	95.61	94.02	99.83	97.68	99.25
CARD3F	2022-02-04	-	14.38	13.52	14.38	13.89	13.67
RECR11	2022-02-04	-	103.47	103.3	103.75	103.52	103.7
GRND3F	2022-02-04	-	8.57	8.15	8.63	8.39	8.4
RELG11	2022-02-04	-	81.12	80.65	81.13	80.87	80.77
E1DU34	2022-02-04	-	0.51	0.48	0.53	0.5	0.51
ALPA3F	2022-02-04	-	24.34	23.9	24.88	24.42	24.35
S2CH34	2022-02-04	-	48.33	48.33	48.43	48.34	48.42
IGBR3	2022-02-04	-	41	37	41.6	38.83	38.47
EZTCP155	2022-02-04	-	0.27	0.27	0.27	0.27	0.27
CEBR6	2022-02-04	-	14.77	14.22	15	14.47	14.22
BIOM3	2022-02-04	-	14.2	13.9	14.2	14.04	13.9
BRFSO180	2022-02-04	237400	0.44	0.44	0.78	0.66	0.74
UNIP5	2022-02-04	-	96.66	96.65	96.66	96.65	96.65
FAED11	2022-02-04	-	144.7	143.95	144.9	144.65	144.9
T1EV34	2022-02-04	-	22.57	22.5	22.57	22.5	22.5
BXTC39	2022-02-04	-	51.79	51.79	51.99	51.97	51.99
CSNAC292	2022-02-04	118600	0.74	0.65	0.75	0.68	0.74
MULTN220	2022-02-04	43500	1.23	1	1.23	1.15	1
MYPKN131	2022-02-04	2800	0.25	0.25	0.25	0.25	0.25
